cpu_usage,memory_usage,requests_per_sec,network_io,pod_count,cloud_cost,cpu_per_pod,memory_per_request,network_per_request,resource_intensity,cost_efficiency
41.83591010202581,25.165730744935303,7326.983278800707,3208.815613442261,1,723.8769720298594,41.83591010202581,0.003434664689047096,0.4379449892736053,3275.817254289222,171.04768548980118
90.81071604484288,22.640549966347,1926.6687564272445,2323.497644994256,3,487.5667969936732,30.27023868161429,0.011751137755682995,1.2059663277578025,2436.948911005446,20.985227426896515
72.21948505396944,12.921542575177323,3531.732974261873,4824.267698076507,13,1033.4676984266123,5.555345004151495,0.0036586974919523485,1.3659774771292759,4909.408725705654,48.23487862088437
60.88597115674811,39.65053354629225,6666.478304892401,1133.943332371979,7,373.60692394557617,8.697995879535444,0.005947748081201057,0.1700963058020904,1234.4798370750195,107.72196315716185
23.261584437607105,31.55069795153499,4872.684510792351,2959.8892591947565,6,669.5498584839709,3.876930739601184,0.006475013492388923,0.6074452907096681,3014.7015415838987,200.83950095358813
23.259534228577223,55.67346152408823,7411.853282485449,3516.039574201602,6,829.6236188194675,3.876589038096204,0.007511409009626133,0.4743806225239463,3594.972569954268,305.5233135413804
14.937107034296954,3.990793989887612,9615.958222106312,4136.544222259639,2,928.46595544682,7.468553517148477,0.00041501781701932714,0.430174936986525,4155.472123283824,603.3691184612483
83.62497239086949,41.91981150841783,1253.812208380455,2064.5066006186357,16,514.7201462555286,5.226560774429343,0.0334338836615457,1.646583584702331,2190.051384517923,14.816101830902738
61.09477599817275,49.30283046771679,7124.720392340803,3450.2634429045333,6,817.6939938577525,10.182462666362126,0.006919967065755756,0.4842665049162667,3560.661049370423,114.73944913740345
70.18616911266386,49.08816728967504,2380.4071407579336,1550.8472833521996,8,394.2016222720109,8.773271139082983,0.02062175266120447,0.6515050542397558,1670.1216197545384,33.43918025691966
11.749682015143208,56.93658595992255,4203.319601334935,2205.6066571910105,11,549.4232917370646,1.0681529104675642,0.013545623783126085,0.524729705657055,2274.292925166076,329.6803478190685
92.44233743376952,47.20009205542864,425.3409853718842,4483.354299456826,18,978.9434582305528,5.135685412987196,0.11097000683853837,10.540612011647406,4622.996728946025,4.5519086642429
80.75762446803584,59.52422382215717,1445.4830846977195,4752.042666188224,6,1038.2943189900525,13.459604078005974,0.041179467578899356,3.2875117782384664,4892.324514478417,17.68010132514123
28.048824407653477,22.62470918889527,3265.795161584107,3608.14586728996,14,798.5196937690206,2.003487457689534,0.006927779627770936,1.1048292035376133,3658.8194008865084,112.42434859855017
